"Replica","Seed","TotalRequests","TotalSuitcases","Delivered","Undelivered","LateSuitcases","TotalDelay","CapacityOverflow","WarehouseOverflow","Fitness","Semaphore","IterationsRun","Improvements","ExecutionTime"
"1","1","488","690","689","1","1","0.00 days","0","0","20000.00","GREEN","30","5","5096 ms"
"2","2","488","690","690","0","0","0.00 days","0","0","0.00","GREEN","30","5","5104 ms"
"3","3","488","690","689","1","1","0.00 days","0","0","20000.00","GREEN","29","3","5137 ms"
"4","4","488","690","690","0","0","0.00 days","0","0","0.00","GREEN","30","4","5056 ms"
"5","5","488","690","689","1","1","0.00 days","0","0","20000.00","GREEN","30","4","5126 ms"
"6","6","488","690","689","1","1","0.00 days","0","0","20000.00","GREEN","30","4","5153 ms"
"7","7","488","690","689","1","1","0.00 days","0","0","20000.00","GREEN","30","5","5133 ms"
"8","8","488","690","688","2","2","0.00 days","0","0","40000.00","GREEN","29","3","5151 ms"
"9","9","488","690","690","0","0","0.00 days","0","0","0.00","GREEN","31","2","5117 ms"
"10","10","488","690","689","1","1","0.00 days","0","0","20000.00","GREEN","31","4","5159 ms"
"11","11","488","690","688","2","2","0.00 days","0","0","40000.00","GREEN","31","4","5098 ms"
"12","12","488","690","689","1","1","0.00 days","0","0","20000.00","GREEN","31","6","5145 ms"
"13","13","488","690","689","1","1","0.00 days","0","0","20000.00","GREEN","30","5","5044 ms"
"14","14","488","690","689","1","1","0.00 days","0","0","20000.00","GREEN","31","3","5163 ms"
"15","15","488","690","688","2","2","0.00 days","0","0","40000.00","GREEN","30","3","5061 ms"
"16","16","488","690","689","1","1","0.00 days","0","0","20000.00","GREEN","30","5","5075 ms"
"17","17","488","690","689","1","1","0.00 days","0","0","20000.00","GREEN","30","7","5037 ms"
"18","18","488","690","689","1","1","0.00 days","0","0","20000.00","GREEN","31","5","5170 ms"
"19","19","488","690","689","1","1","0.00 days","0","0","20000.00","GREEN","31","6","5117 ms"
"20","20","488","690","690","0","0","0.00 days","0","0","0.00","GREEN","31","5","5104 ms"
"21","21","488","690","690","0","0","0.00 days","0","0","0.00","GREEN","31","5","5117 ms"
"22","22","488","690","689","1","1","0.00 days","0","0","20000.00","GREEN","31","5","5132 ms"
"23","23","488","690","689","1","1","0.00 days","0","0","20000.00","GREEN","31","4","5144 ms"
"24","24","488","690","690","0","0","0.00 days","0","0","0.00","GREEN","30","3","5077 ms"
"25","25","488","690","688","2","2","0.00 days","0","0","40000.00","GREEN","30","4","5067 ms"
"26","26","488","690","690","0","0","0.00 days","0","0","0.00","GREEN","30","2","5030 ms"
"27","27","488","690","689","1","1","0.00 days","0","0","20000.00","GREEN","31","3","5157 ms"
"28","28","488","690","690","0","0","0.00 days","0","0","0.00","GREEN","31","8","5109 ms"
"29","29","488","690","688","2","2","0.00 days","0","0","40000.00","GREEN","31","2","5147 ms"
"30","30","488","690","690","0","0","0.00 days","0","0","0.00","GREEN","31","4","5118 ms"
