"Config","Seed","Delivered","Undelivered","LateSuitcases","TotalDelay","CapacityOverflow","WarehouseOverflow","Fitness","IterationsRun","ExecutionTime"
"h10_a20_b45_r18","1","121247","0","0","0.00 days","0","117","58500.00","2","107373 ms"
"h10_a20_b45_r18","2","121247","0","1","0.21 days","0","126","64021.11","2","108745 ms"
"h10_a20_b45_r18","3","121247","0","0","0.00 days","0","112","56000.00","2","101277 ms"
"h10_a30_b45_r20","1","121247","0","0","0.00 days","0","117","58500.00","1","77338 ms"
"h10_a30_b45_r20","2","121247","0","1","0.21 days","0","126","64021.11","1","78167 ms"
"h10_a30_b45_r20","3","121247","0","0","0.00 days","0","112","56000.00","1","80390 ms"
"h12_a20_b45_r18","1","121247","0","0","0.00 days","0","117","58500.00","2","109713 ms"
"h12_a20_b45_r18","2","121247","0","0","0.00 days","0","115","57500.00","2","108530 ms"
"h12_a20_b45_r18","3","121247","0","0","0.00 days","0","112","56000.00","2","110064 ms"
"h12_a30_b40_r20","1","121247","0","5","1.58 days","0","125","67658.06","1","80129 ms"
"h12_a30_b40_r20","2","121247","0","6","2.81 days","0","87","49781.11","1","80831 ms"
"h12_a30_b40_r20","3","121247","0","3","1.30 days","0","115","60630.14","1","78342 ms"
